x,y,z,mag,dab
-1.4915876342773438,8.755595471191405,4.687846850585937,10.042967381228769,dab
-1.2952630981445312,8.808267907714843,4.766855505371093,10.098821784573726,dab
-1.4149731811523436,8.70771143798828,4.544194750976562,9.923512156764623,dab
-1.2880804931640624,8.815450512695312,4.69263525390625,10.069366649638576,dab
-1.3455413330078123,8.796296899414061,4.448426684570312,9.948558719205064,dab
-1.4413093994140624,8.82981572265625,4.754884497070313,10.131729618450468,dab
-1.4963760375976562,8.731653454589843,4.479551306152343,9.927098931782556,dab
-1.4796166259765624,8.825027319335938,4.594472985839843,10.058804827836356,dab
-2.6001030029296874,9.471461767578125,4.65432802734375,10.868849664369073,dab
-5.944802722167968,11.226411584472656,6.093243225097656,14.089024432858224,dab
-4.4005426513671875,11.54244620361328,7.632714892578124,14.52071543076278,dab
-1.2282254516601563,10.62307276611328,4.496310717773437,11.600647517488312,dab
2.473210314941406,7.429207751464843,3.289633081054687,8.493031430786491,dab
6.816292126464844,3.9049429077148434,2.123656872558594,8.137587847647755,dab
10.350133776855468,1.6615759521484375,-3.0980969482421874,10.9308878204961,dab
6.040570788574218,3.6152445068359373,-5.066130712890625,8.673186767046888,dab
4.132392065429687,5.844246252441406,-5.193023400878906,8.843040793962084,dab
6.212953308105468,8.147468249511718,-3.375824340820312,10.78787363967409,dab
7.359775903320312,8.458714465332031,-2.0446482177734375,11.39722501697478,dab
6.366182214355469,7.783549597167968,-2.4588451049804685,10.351707084739017,dab
5.374982727050781,7.575254052734374,-2.7078420776367187,9.675087699704987,dab
5.5258174316406246,7.493851196289062,-2.157175695800781,9.557503388568584,dab
5.760449194335937,7.503428002929687,-2.2026655273437497,9.712669156366001,dab
6.004657763671875,7.738059765625,-2.9185318237304685,10.220142455041263,dab
5.343858105468749,7.398083129882812,-2.157175695800781,9.37773215818165,dab
5.528211633300781,7.491456994628906,-2.123656872558594,9.549501048604675,dab
5.6407391113281244,7.436390356445312,-2.29843359375,9.612524966957338,dab
6.074089611816406,7.407659936523437,-2.521094348144531,9.905751211281085,dab
5.9208607055664055,7.577648254394531,-2.319981408691406,9.892404070736424,dab
5.894524487304687,7.1586629638671875,-2.4971523315429685,9.603522485453388,dab
